YEAR,MONTH,DAY,TMAX,TMIN,TMAX_1d,TMAX_2d,TMAX_BD,TMAX_SF,PRCP,TMAX_CLIM
2018,1,1,26,10,31,24,30,61,0,43.5
2018,1,2,41,5,26,31,46,61,0,43.6
2018,1,3,47,12,41,26,50,58,0,43.7
2018,1,4,51,18,47,41,52,63,0,43.8
2018,1,5,50,21,51,47,62,61,0,43.9
2018,1,6,48,22,50,51,60,59,0,44
2018,1,7,50,28,48,50,55,52,0,44
2018,1,8,44,21,50,48,56,58,0,44.1
2018,1,9,64,22,44,50,67,59,0,44.2
2018,1,10,61,35,64,44,59,56,0,44.2
2018,1,11,47,25,61,64,47,60,0,44.3
2018,1,12,45,24,47,61,48,59,0,44.3
2018,1,13,49,17,45,47,52,63,0,44.4
2018,1,14,49,21,49,45,52,58,0,44.4
2018,1,15,38,14,49,49,38,62,0.07,44.4
2018,1,16,28,-2,38,49,36,60,0,44.4
2018,1,17,51,8,28,38,52,59,0,44.4
2018,1,18,58,13,51,28,63,56,0,44.4
2018,1,19,57,31,58,51,69,57,0,44.4
2018,1,20,49,28,57,58,62,57,0,44.4
2018,1,21,34,25,49,57,32,57,0.38,44.4
2018,1,22,50,23,34,49,48,58,0,44.4
2018,1,23,44,21,50,34,44,58,0,44.3
2018,1,24,51,15,44,50,53,58,0,44.3
2018,1,25,46,23,51,44,53,58,0,44.3
2018,1,26,42,25,46,51,47,56,0,44.3
2018,1,27,40,16,42,46,45,60,0,44.3
2018,1,28,55,18,40,42,50,66,0,44.3
2018,1,29,55,21,55,40,59,63,0,44.3
2018,1,30,64,27,55,55,64,65,0,44.3
2018,1,31,56,27,64,55,59,67,0,44.3
2018,2,1,31,24,56,64,40,71,0.25,44.4
2018,2,2,47,14,31,56,52,73,0,44.4
2018,2,3,57,24,47,31,58,74,0,44.5
2018,2,4,50,12,57,47,50,74,0,44.5
2018,2,5,54,19,50,57,53,77,0.01,44.6
2018,2,6,50,21,54,50,49,75,0,44.7
2018,2,7,50,26,50,54,53,71,0,44.8
2018,2,8,62,26,50,50,60,74,0,44.9
2018,2,9,55,15,62,50,56,76,0.01,45.1
2018,2,10,17,10,55,62,24,68,0.06,45.2
2018,2,11,35,1,17,55,46,61,0,45.4
2018,2,12,29,13,35,17,32,57,0,45.6
2018,2,13,59,13,29,35,57,63,0,45.8
2018,2,14,63,31,59,29,63,58,0,46
2018,2,15,52,29,63,59,50,63,0,46.2
2018,2,16,41,16,52,63,41,65,0,46.4
2018,2,17,54,29,41,52,56,67,0,46.7
2018,2,18,67,30,54,41,66,53,0,46.9
2018,2,19,35,9,67,54,54,51,0.1,47.2
2018,2,20,15,-3,35,67,15,52,0.1,47.5
2018,2,21,26,-1,15,35,19,55,0,47.8
2018,2,22,31,7,26,15,30,52,0,48.1
2018,2,23,31,11,31,26,34,52,0.09,48.4
2018,2,24,39,15,31,31,37,54,0.05,48.7
2018,2,25,39,16,39,31,40,58,0,49
2018,2,26,50,17,39,39,52,51,0,49.4
2018,2,27,53,23,50,39,52,56,0,49.7
2018,2,28,49,24,53,50,48,57,0,50
2018,3,1,50,20,49,53,53,58,0,50.3
2018,3,2,67,24,50,49,69,53,0,50.7
2018,3,3,67,29,67,50,68,53,0,51
2018,3,4,66,28,67,67,67,55,0,51.3
2018,3,5,44,29,66,67,45,61,0,51.7
2018,3,6,50,26,44,66,51,66,0,52
2018,3,7,53,16,50,44,52,69,0,52.3
2018,3,8,64,23,53,50,65,60,0,52.6
2018,3,9,63,34,64,53,64,60,0,52.9
2018,3,10,55,39,63,64,57,58,0,53.2
2018,3,11,51,20,55,63,51,69,0,53.5
2018,3,12,58,22,51,55,56,67,0,53.8
2018,3,13,57,25,58,51,57,61,0,54.1
2018,3,14,66,25,57,58,66,58,0,54.4
2018,3,15,67,33,66,57,65,56,0.03,54.7
2018,3,16,58,40,67,66,52,54,0.01,54.9
2018,3,17,62,26,58,67,61,57,0,55.2
2018,3,18,57,32,62,58,54,56,0.28,55.4
2018,3,19,48,33,57,62,45,64,0.05,55.7
2018,3,20,54,25,48,57,51,59,0,55.9
2018,3,21,62,29,54,48,60,64,0,56.2
2018,3,22,70,36,62,54,72,60,0,56.4
2018,3,23,67,55,70,62,70,58,0,56.6
2018,3,24,67,32,67,70,64,55,0,56.8
2018,3,25,60,33,67,67,62,55,0.03,57.1
2018,3,26,55,36,60,67,56,61,0,57.3
2018,3,27,52,27,55,60,47,68,0,57.5
2018,3,28,48,28,52,55,47,76,0.31,57.7
2018,3,29,48,27,48,52,47,81,0,57.9
2018,3,30,62,25,48,48,63,79,0,58.1
2018,3,31,60,34,62,48,59,60,0,58.3
2018,4,1,46,23,60,62,49,65,0.01,58.5
2018,4,2,70,29,46,60,74,63,0,58.7
2018,4,3,59,30,70,46,65,59,0,59
2018,4,4,61,25,59,70,62,60,0,59.2
2018,4,5,67,32,61,59,65,61,0,59.4
2018,4,6,57,23,67,61,58,61,0.13,59.6
2018,4,7,46,20,57,67,50,62,0.01,59.9
2018,4,8,62,40,46,57,62,61,0,60.1
2018,4,9,58,36,62,46,57,74,0.05,60.3
2018,4,10,72,32,58,62,69,63,0,60.6
2018,4,11,80,45,72,58,76,60,0,60.8
2018,4,12,78,41,80,72,76,57,0,61.1
2018,4,13,60,39,78,80,69,63,0,61.3
2018,4,14,61,35,60,78,57,68,0,61.6
2018,4,15,62,30,61,60,59,60,0,61.9
2018,4,16,65,32,62,61,65,55,0,62.2
2018,4,17,69,33,65,62,69,61,0,62.4
2018,4,18,59,35,69,65,56,57,0,62.7
2018,4,19,65,28,59,69,61,60,0,63
2018,4,20,57,36,65,59,58,65,0.09,63.3
2018,4,21,45,33,57,65,46,71,0.42,63.6
2018,4,22,65,31,45,57,64,72,0,63.9
2018,4,23,70,37,65,45,71,70,0.01,64.2
2018,4,24,56,36,70,65,68,59,0.03,64.6
2018,4,25,66,28,56,70,66,58,0,64.9
2018,4,26,64,44,66,56,66,58,0,65.2
2018,4,27,73,33,64,66,72,63,0,65.5
2018,4,28,78,40,73,64,73,63,0,65.8
2018,4,29,80,46,78,73,81,61,0,66.1
2018,4,30,70,46,80,78,76,60,0,66.4
2018,5,1,65,45,70,80,67,62,0.02,66.8
2018,5,2,51,45,65,70,57,60,0.41,67.1
2018,5,3,55,38,51,65,53,58,1.74,67.4
2018,5,4,70,35,55,51,69,62,0,67.7
2018,5,5,74,42,70,55,75,57,0,68
2018,5,6,76,47,74,70,76,59,0,68.3
2018,5,7,79,49,76,74,82,66,0,68.6
2018,5,8,80,52,79,76,82,59,0,68.9
2018,5,9,79,46,80,79,76,62,0,69.2
2018,5,10,85,48,79,80,84,66,0,69.5
2018,5,11,68,50,85,79,84,69,0,69.8
2018,5,12,60,47,68,85,64,69,0.22,70
2018,5,13,64,49,60,68,57,61,0.26,70.3
2018,5,14,68,51,64,60,64,58,0.01,70.6
2018,5,15,75,41,68,64,71,63,0,70.9
2018,5,16,81,41,75,68,81,63,0,71.2
2018,5,17,83,49,81,75,78,62,0,71.4
2018,5,18,74,54,83,81,75,60,0.17,71.7
2018,5,19,55,47,74,83,53,59,0.12,72
2018,5,20,53,41,55,74,51,59,0.09,72.2
2018,5,21,76,40,53,55,75,61,0,72.5
2018,5,22,78,48,76,53,77,57,1.42,72.8
2018,5,23,77,44,78,76,74,59,0.06,73
2018,5,24,82,48,77,78,82,61,0,73.3
2018,5,25,86,49,82,77,86,63,0,73.6
2018,5,26,88,51,86,82,86,63,0,73.9
2018,5,27,85,59,88,86,80,70,0,74.2
2018,5,28,69,52,85,88,79,77,0.59,74.4
2018,5,29,74,48,69,85,73,69,0.01,74.7
2018,5,30,80,49,74,69,82,58,0,75
2018,5,31,88,49,80,74,87,60,0,75.3
2018,6,1,87,52,88,80,87,68,0,75.6
2018,6,2,78,52,87,88,79,78,0,75.9
2018,6,3,77,47,78,87,77,73,0,76.2
2018,6,4,90,51,77,78,90,64,0,76.5
2018,6,5,95,50,90,77,91,63,0,76.8
2018,6,6,88,54,95,90,84,60,0,77.2
